Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax
1,Rendah,PPD BATANG PADANG,ABA0001,SK TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,PERAK,054011341,054010387
2,Rendah,PPD BATANG PADANG,ABA0002,SK PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,PERAK,054182740,054182740
3,Rendah,PPD BATANG PADANG,ABA0003,SK BANIR,BANIR,35400,TAPAH ROAD,PERAK,054270085,054270085
4,Rendah,PPD BATANG PADANG,ABA0004,SK TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,PERAK,054690253,054690263
5,Rendah,PPD BATANG PADANG,ABA0005,SK CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,PERAK,054161461,054161461
6,Rendah,PPD BATANG PADANG,ABA0006,SK BIDOR,JALAN SUNGKAI,35500,BIDOR,PERAK,054340797,054340797
7,Rendah,PPD BATANG PADANG,ABA0007,SK KAMPONG POH,KAMPONG POH,35500,BIDOR,PERAK,054270103,TIADA
8,Rendah,PPD BATANG PADANG,ABA0008,SK BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,PERAK,054198507,054190161
9,Rendah,PPD BATANG PADANG,ABA0009,SK BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,PERAK,054270035,054270035
10,Rendah,PPD BATANG PADANG,ABA0010,SK HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,PERAK,056591069,056591069
11,Rendah,PPD BATANG PADANG,ABA0011,SK SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,PERAK,TIADA,TIADA
12,Rendah,PPD BATANG PADANG,ABA0012,SK KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,PERAK,054010396,054010396
13,Rendah,PPD BATANG PADANG,ABA0013,SK BATU TUJUH,JALAN PAHANG,35000,TAPAH,PERAK,054010735,054010735
14,Rendah,PPD BATANG PADANG,ABA0014,SK JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",35500,BIDOR,PERAK,054270118,054270119
15,Rendah,PPD BATANG PADANG,ABA0015,SK SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,PERAK,054780468,054780468
16,Rendah,PPD BATANG PADANG,ABA0016,SK AYER KUNING,AYER KUNING KAMPAR,31920,KAMPAR,PERAK,054789326,054789326
17,Rendah,PPD BATANG PADANG,ABA0017,SK BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,PERAK,054270021,TIADA
18,Rendah,PPD BATANG PADANG,ABA0018,SK SUNGKAI,SUNGKAI,35600,SUNGKAI,PERAK,054388434,054388434
19,Rendah,PPD BATANG PADANG,ABA0019,SK PERLOK,JALAN MENDERANG,35600,SUNGKAI,PERAK,054386911,054386911
20,Rendah,PPD BATANG PADANG,ABA0020,SK BIKAM,KG.BIKAM,35600,SUNGKAI,PERAK,054386179,054386179
21,Rendah,PPD BATANG PADANG,ABA0021,SK AMINUDIN BAKI,JALAN STESEN,35800,SLIM RIVER,PERAK,054520650,054520650
22,Rendah,PPD BATANG PADANG,ABA0022,SK BALUN,KG. BALUN,35820,SLIM RIVER,PERAK,054527044,054527044
23,Rendah,PPD BATANG PADANG,ABA0023,SK DATUK NAN KAYA,KAMPONG KELAWAR,35900,TANJONG MALIM,PERAK,0165918271,TIADA
24,Rendah,PPD BATANG PADANG,ABA0024,SK CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,PERAK,054389843,054389843
25,Rendah,PPD BATANG PADANG,ABA0025,SK ULU SLIM,KG. ULU SLIM,35800,SLIM RIVER,PERAK,0193444521,TIADA
26,Rendah,PPD BATANG PADANG,ABA0026,SK KUALA SLIM,KG. KUALA SLIM,35800,SLIM RIVER,PERAK,054520072,054520072
27,Rendah,PPD BATANG PADANG,ABA0027,SK TANJONG MALIM,JALAN KETOYONG,35900,TANJONG MALIM,PERAK,054595694,054585924
28,Rendah,PPD BATANG PADANG,ABA0028,SK BEHRANG,"BATU 8, BEHRANG ULU",35950,BEHRANG STESEN,PERAK,TIADA,TIADA
29,Rendah,PPD BATANG PADANG,ABA0029,SK SLIM VILLAGE,KAMPUNG SLIM,35800,SLIM RIVER,PERAK,054527387,054527387
30,Rendah,PPD BATANG PADANG,ABA0030,SK DATO' KAMARUDDIN,JALAN KAMPUNG PAUH,35950,BEHRANG STESEN,PERAK,054544218,054544218
31,Rendah,PPD BATANG PADANG,ABA0031,SK FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,PERAK,054388500,054388501
32,Rendah,PPD BATANG PADANG,ABA0032,SK SUNGAI BEHRANG,FELDA SUNGAI BEHRANG,35820,SLIM RIVER,PERAK,054542679,054542679
33,Rendah,PPD BATANG PADANG,ABA0033,SK TROLAK TIMUR,FELDA TROLAK TIMUR,35700,TROLAK,PERAK,054323451,054323451
34,Rendah,PPD BATANG PADANG,ABA0034,SK BATU 14,JALAN PAHANG,35000,TAPAH,PERAK,TIADA,TIADA
35,Rendah,PPD BATANG PADANG,ABA0035,SK BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,PERAK,054312313,054312313
36,Rendah,PPD BATANG PADANG,ABA0110,SK TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,PERAK,054323189,054321004
37,Rendah,PPD BATANG PADANG,ABA0118,SK TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,PERAK,054323534,054322734
38,Rendah,PPD BATANG PADANG,ABA0120,SK SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,PERAK,054311819,054311819
39,Rendah,PPD BATANG PADANG,ABA0121,SK BESOUT 4,FELDA BESOUT 4,35600,SUNGKAI,PERAK,TIADA,TIADA
40,Rendah,PPD BATANG PADANG,ABA0122,SK BESOUT 5,FELDA GUNUNG BESOUT 5,35600,SUNGKAI,PERAK,0194630861,TIADA
41,Rendah,PPD BATANG PADANG,ABA0123,SK POS BERSIH,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA
42,Rendah,PPD BATANG PADANG,ABA0124,SK POS TENAU,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA
43,Rendah,PPD BATANG PADANG,ABA0125,SK POS GEDONG,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA
44,Rendah,PPD BATANG PADANG,ABA0126,SK KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA
45,Rendah,PPD BATANG PADANG,ABA0127,SK POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,PERAK,TIADA,TIADA
46,Rendah,PPD BATANG PADANG,ABA0128,SK JERNANG,"P/SURAT 14, PEJABAT POS SUNGKAI",35600,SUNGKAI,PERAK,0195459453,TIADA
47,Rendah,PPD BATANG PADANG,ABA0129,SK TAPAH,JALAN BIDOR LAMA,35000,TAPAH,PERAK,054016122,054016122
48,Rendah,PPD BATANG PADANG,ABA0130,SK BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,PERAK,054341216,054340926
49,Rendah,PPD BATANG PADANG,ABA0131,SK PROTON CITY,BANDAR PROTON,35900,TANJONG MALIM,PERAK,054581128,054581129
50,Rendah,PPD BATANG PADANG,ABA0132,SEKOLAH KEBANGSAAN BANDAR BEHRANG 2020,JALAN WAWASAN MESRA,35900,TANJONG MALIM,PERAK,054583435,054583439
51,Rendah,PPD MANJUNG,ABA1001,SK DENDANG,KAMPUNG DENDANG,32700,BERUAS,PERAK,052560031,052560031
52,Rendah,PPD MANJUNG,ABA1002,SK BERUAS,JALAN PARIT,32700,BERUAS,PERAK,056740696,056749009
53,Rendah,PPD MANJUNG,ABA1003,SK KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,PERAK,056748048,056748048
54,Rendah,PPD MANJUNG,ABA1004,SK GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,PERAK,056721145,056721145
55,Rendah,PPD MANJUNG,ABA1005,SK CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,PERAK,053765253,053765253
56,Rendah,PPD MANJUNG,ABA1006,SK AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,PERAK,056724248,056724248
57,Rendah,PPD MANJUNG,ABA1007,SK PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,PERAK,056775795,056773528
58,Rendah,PPD MANJUNG,ABA1008,SK PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,PERAK,056775595,056775595
59,Rendah,PPD MANJUNG,ABA1009,SK SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,PERAK,056774660,056777529
60,Rendah,PPD MANJUNG,ABA1010,SK LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,PERAK,056752168,056752168
61,Rendah,PPD MANJUNG,ABA1011,SK SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,PERAK,056774473,056774473
62,Rendah,PPD MANJUNG,ABA1012,SK NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,PERAK,056777151,056777151
63,Rendah,PPD MANJUNG,ABA1013,SK SUNGAI RAMAI,KG. SG. RAMAI,32400,AYER TAWAR,PERAK,056721259,056721259
64,Rendah,PPD MANJUNG,ABA1014,SK SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,PERAK,056924192,056924192
65,Rendah,PPD MANJUNG,ABA1015,SK SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,PERAK,056922495,056926143
66,Rendah,PPD MANJUNG,ABA1016,SK SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,PERAK,056923754,056923754
67,Rendah,PPD MANJUNG,ABA1017,SK LEKIR,BATU 8,32020,SITIAWAN,PERAK,056792764,056792764
68,Rendah,PPD MANJUNG,ABA1018,SK MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,PERAK,056939610,056939611
69,Rendah,PPD MANJUNG,ABA1019,SK BATU SEPULUH,LEKIR,32020,SITIAWAN,PERAK,056791206,056791951
70,Rendah,PPD MANJUNG,ABA1020,SK SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,PERAK,056690576,056690576
71,Rendah,PPD MANJUNG,ABA1021,SK DATO' ISHAK,"KAMPUNG PADANG TEMBAK, TELUK MUROK",32200,LUMUT,PERAK,056835440,056834332
72,Rendah,PPD MANJUNG,ABA1022,SK LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,PERAK,056835322,056835322
73,Rendah,PPD MANJUNG,ABA1023,SK SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,PERAK,056851193,056855911
74,Rendah,PPD MANJUNG,ABA1024,SK TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,PERAK,056990070,056990070
75,Rendah,PPD MANJUNG,ABA1025,SK KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,PERAK,056915975,056915975
76,Rendah,PPD MANJUNG,ABA1026,SK KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,PERAK,056792712,056792712
77,Rendah,PPD MANJUNG,ABA1027,SK PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,PERAK,056835890,056838527
78,Rendah,PPD MANJUNG,ABA1028,SK SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,PERAK,056881014,056889855
79,Rendah,PPD MANJUNG,ABA1029,SK PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,PERAK,056774375,056777586
80,Rendah,PPD MANJUNG,ABA1030,SK GUGUSAN LEKIR,D/A FELCRA GUGUSAN LEKIR,32000,SITIAWAN,PERAK,056923687,056926126
81,Rendah,PPD MANJUNG,ABA1031,SK PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,PERAK,056834914,056838079
82,Rendah,PPD MANJUNG,ABA1032,SK KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,PERAK,056886616,056886616
83,Rendah,PPD MANJUNG,ABA1033,SK SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,056882087,056882326
84,Rendah,PPD MANJUNG,ABA1034,SK SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,PERAK,056888950,056883866
85,Rendah,PPD MANJUNG,ABA1035,SK SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,056881909,056883703
86,Rendah,PPD KINTA UTARA,ABA2001,SK SUNGAI RAYA,"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG",31300,KG. KEPAYANG,PERAK,053571660,053571660
87,Rendah,PPD KINTA UTARA,ABA2002,SK SUNGAI RAPAT,JALAN RAJA ABDULLAH,31350,IPOH,PERAK,053123528,053111632
88,Rendah,PPD KINTA UTARA,ABA2003,SK SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,PERAK,053121890,053115806
89,Rendah,PPD KINTA UTARA,ABA2004,SK TAMBUN,JALAN AMPANG,31400,IPOH,PERAK,055469261,055499086
90,Rendah,PPD KINTA UTARA,ABA2005,SK TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,PERAK,055332950,055330751
91,Rendah,PPD KINTA UTARA,ABA2006,SK TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,PERAK,055464913,055464913
92,Rendah,PPD KINTA UTARA,ABA2007,SK CHEPOR,JALAN JELAPANG,31200,CHEMOR,PERAK,052017246,052012135
93,Rendah,PPD KINTA UTARA,ABA2008,SK HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,PERAK,052011534,052018980
94,Rendah,PPD KINTA UTARA,ABA2009,SK SYED IDRUS,KUANG,31200,CHEMOR,PERAK,052015669,052015669
95,Rendah,PPD KINTA UTARA,ABA2010,SK DATO' PANGLIMA KINTA,JALAN TUN PERAK,30200,IPOH,PERAK,052545680,052544884
96,Rendah,PPD KINTA UTARA,ABA2011,SK JALAN PANGLIMA BUKIT GANTANG,JALAN PANGLIMA BUKIT GANTANG WAHAB,30000,IPOH,PERAK,052559896,052432785
97,Rendah,PPD KINTA UTARA,ABA2012,SK SERI KEPAYANG,FAIR PARK,31400,IPOH,PERAK,055450905,055450905
98,Rendah,PPD KINTA UTARA,ABA2014,SK KAMPUNG PASIR PUTEH,TAMAN SHATIN,31650,IPOH,PERAK,053219041,053233870
99,Rendah,PPD KINTA UTARA,ABA2015,SK KUALA PARI,JALAN TOH PUAN RAHMAH,31450,MENGLEMBU,PERAK,052821788,052821788
100,Rendah,PPD KINTA UTARA,ABA2016,SK PENGKALAN PEGOH,"JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH",31500,LAHAT,PERAK,053216399,053216399
101,Rendah,PPD KINTA SELATAN,ABA2017,SK PENGKALAN BAHARU,"JALAN GOPENG, KG. KEPAYANG",31300,KG. KEPAYANG,PERAK,053576199,053577962
102,Rendah,PPD KINTA SELATAN,ABA2018,SK GOPENG,TAMAN GOPENG BARU,31600,GOPENG,PERAK,053595922,053597103
103,Rendah,PPD KINTA SELATAN,ABA2019,SK GUNUNG PANJANG,KG. GUNUNG PANJANG,31600,GOPENG,PERAK,053593317,053593317
104,Rendah,PPD KINTA SELATAN,ABA2020,SK CHANGKAT TUALANG,"KG. CHANGKAT TUALANG, KOTA BAHRU",31610,GOPENG,PERAK,054690014,TIADA
105,Rendah,PPD KINTA SELATAN,ABA2021,SK KOTA BAHARU,JALAN DATUK SETIA,31610,GOPENG,PERAK,053595409,053595409
106,Rendah,PPD KINTA SELATAN,ABA2022,SK TUALANG SEKAH,JALAN MALIM NAWAR,31700,MALIM NAWAR,PERAK,054775145,054775145
107,Rendah,PPD KINTA SELATAN,ABA2023,SK MALIM NAWAR,KAMPUNG CHANGKAT BARU,31700,MALIM NAWAR,PERAK,054775506,054775506
108,Rendah,PPD KINTA SELATAN,ABA2024,SK KUALA DIPANG,KUALA DIPANG,31850,JERAM,PERAK,054775632,054775632
109,Rendah,PPD KINTA SELATAN,ABA2025,SK SAHOM,JLN CHENDERIANG,31920,KAMPAR,PERAK,TIADA,TIADA
110,Rendah,PPD KINTA SELATAN,ABA2026,SK KAMPAR,192 JLN BUKIT,31900,KAMPAR,PERAK,054651237,054651237
111,Rendah,PPD KINTA SELATAN,ABA2027,SK BUKIT PEKAN,JALAN KG. BUKIT PEKAN,31910,KAMPAR,PERAK,054660980,054660980
112,Rendah,PPD KINTA SELATAN,ABA2028,SK AIR HITAM LABU,WAKIL POS TRONOH MINES,31910,KAMPAR,PERAK,054667098,054667098
113,Rendah,PPD KINTA SELATAN,ABA2029,SK SUNGAI ITEK,JALAN DUSUN SERIBU,31600,GOPENG,PERAK,053593043,053593043
114,Rendah,PPD KINTA SELATAN,ABA2030,SK TOH INDERA WANGSA AHMAD,JALAN SULAIMAN,31000,BATU GAJAH,PERAK,053661253,053652576
115,Rendah,PPD KINTA SELATAN,ABA2031,SK SIPUTEH,SIPUTEH,31560,SIPUTEH,PERAK,053660621,053660621
116,Rendah,PPD KINTA SELATAN,ABA2032,SK TRONOH,JALAN BOTA LAMA,31750,TRONOH,PERAK,053679414,053677410
117,Rendah,PPD KINTA SELATAN,ABA2033,SK KG. SERI RAHMAT,JALAN CHANGKAT LARANG,31500,LAHAT,PERAK,053665516,053665516
118,Rendah,PPD KINTA SELATAN,ABA2034,SK TANJUNG TUALANG,BATU 7,31000,BATU GAJAH,PERAK,053702155,053702155
119,Rendah,PPD KINTA SELATAN,ABA2035,SK AYER PAPAN,KAMPUNG AYER PAPAN,31800,TANJONG TUALANG,PERAK,053607099,053607099
120,Rendah,PPD KINTA SELATAN,ABA2036,SK CHANGKAT TIN,CHANGKAT TIN,31800,TANJUNG TUALANG,PERAK,053607925,053607925
121,Rendah,PPD KINTA SELATAN,ABA2037,SK ULU GERUNTUM,JALAN ULU GERUNTUM,31600,GOPENG,PERAK,053599200,053599201
122,Rendah,PPD KINTA SELATAN,ABA2038,SK BAKAP,JALAN TG. TUALANG,31000,BATU GAJAH,PERAK,053668792,053668792
123,Rendah,PPD KINTA UTARA,ABA2039,SK PASUKAN POLIS HUTAN,JALAN PASUKAN POLIS HUTAN,31150,IPOH,PERAK,055335358,055331131
124,Rendah,PPD KINTA SELATAN,ABA2040,SK AYER DENAK,TRONOH,31750,TRONOH,PERAK,TIADA,TIADA
125,Rendah,PPD KINTA UTARA,ABA2041,SK MANJOI (SATU),"JALAN  MASJID, KG. MANJOI",30020,IPOH,PERAK,055260408,055286572
126,Rendah,PPD KINTA UTARA,ABA2042,SK GURU KALGIDHAR,"JALAN GUNTONG,BUNTONG",30100,IPOH,PERAK,052413269,052413269
127,Rendah,PPD KINTA UTARA,ABA2043,SK MANJOI (DUA),JALAN MASJID KG. MANJOI,30020,IPOH,PERAK,055265441,055268129
128,Rendah,PPD KINTA UTARA,ABA2044,SR PENDIDIKAN KHAS IPOH,"JALAN KUALA KANGSAR, ANJUNG TAWAS",31200,CHEMOR,PERAK,052910310,052910311
129,Rendah,PPD KINTA UTARA,ABA2045,SK JELAPANG,TAMAN MERU,30020,IPOH,PERAK,055265553,055285158
130,Rendah,PPD KINTA UTARA,ABA2046,SK DATO' AHMAD SAID TAMBAHAN,LEBUH RAJAWALI,30020,IPOH,PERAK,055268889,055268889
131,Rendah,PPD KINTA UTARA,ABA2047,SK POS RAYA,JALAN CAMERON HIGHLANDS,31300,KG KEPAYANG,PERAK,0195596468,0195584473
132,Rendah,PPD KINTA SELATAN,ABA2048,SK POS DIPANG,SAHOM,31920,KAMPAR,PERAK,TIADA,TIADA
133,Rendah,PPD KINTA UTARA,ABA2049,SK SERI TANJUNG,TANJUNG RAMBUTAN,31250,TANJONG RAMBUTAN,PERAK,0195715633,TIADA
134,Rendah,PPD KINTA UTARA,ABA2050,SK SERI AMPANG,JLN RAJA MUSA MAHADI,31350,IPOH,PERAK,053120663,053126046
135,Rendah,PPD KINTA UTARA,ABA2051,SK JALAN PEGOH,"LRG. PEGOH 4, TMN. PENGKALAN JAYA",31650,IPOH,PERAK,053214701,053220982
136,Rendah,PPD KINTA UTARA,ABA2052,SK SERI KELEBANG,KG SERI KELEBANG,31200,CHEMOR,PERAK,052916844,052924485
137,Rendah,PPD KINTA UTARA,ABA2053,SK PERPADUAN,TAMAN PERPADUAN,31150,ULU KINTA,PERAK,055333859,055333878
138,Rendah,PPD KINTA SELATAN,ABA2054,SK SENTOSA,TAMAN BANDAR BARU,31900,KAMPAR,PERAK,054669587,054669587
139,Rendah,PPD KINTA UTARA,ABA2055,SK RAJA CHULAN,DESA CEMPAKA,31400,IPOH,PERAK,055456599,055456599
140,Rendah,PPD KINTA UTARA,ABA2056,SK TAMAN BERSATU,SIMPANG PULAI,31300,KG KEPAYANG,PERAK,053577355,053573068
141,Rendah,PPD KINTA UTARA,ABA2057,SK PENGKALAN,TAMAN PINJI MEWAH,31500,LAHAT,PERAK,053226860,053213563
142,Rendah,PPD KINTA UTARA,ABA2058,SK JATI,"JLN TAMAN JATI 1, TAMAN JATI, JELAPANG",30020,IPOH,PERAK,055286863,055287863
143,Rendah,PPD KINTA UTARA,ABA2059,SK BANDAR BARU PUTERA,JALAN BERCHAM,31400,IPOH,PERAK,055333959,055331320
144,Rendah,PPD KINTA UTARA,ABA2060,SK SILIBIN,"PERSIARAN JELAPANG 13,TAMAN SILIBIN",30100,IPOH,PERAK,055264416,055264416
145,Rendah,PPD KINTA UTARA,ABA2061,SK TASEK DERMAWAN,"KAMPUNG TERSUSUN TASEK, BERCHAM",31400,IPOH,PERAK,055483749,055484751
146,Rendah,PPD KINTA UTARA,ABA2062,SK SIMPANG PULAI,JALAN BESAR KG MERAWAN INDAH,31300,KG KEPAYANG,PERAK,053572939,053572939
147,Rendah,PPD KINTA UTARA,ABA2063,SK RAPAT JAYA,KG. RAPAT JAYA TAMBAHAN,31350,IPOH,PERAK,053115996,053115996
148,Rendah,PPD KINTA UTARA,ABA2064,SK PINJI,PERSIARAN BUNGA RAYA,31650,IPOH,PERAK,053211778,053211778
149,Rendah,PPD KINTA UTARA,ABA2065,SK JELAPANG JAYA,"LALUAN KERANJI 5, KG DATO' AHMAD SAID TAMBAHAN 3",30020,IPOH,PERAK,055261511,055261511
150,Rendah,PPD KINTA UTARA,ABA2066,SK BUNTONG,PERSIARAN DESA RISHAH (S) 1/1B,30100,IPOH,PERAK,052810279,052810355
151,Rendah,PPD KINTA SELATAN,ABA2067,SK SERI JAYA,"KAMPONG SERI JAYA, JALAN CHANGKAT LARANG",31000,BATU GAJAH,PERAK,053651561,053651561
152,Rendah,PPD KINTA UTARA,ABA2068,SK RAPAT SETIA,JALAN TENAGA,31350,IPOH,PERAK,053135443,053129107
153,Rendah,PPD KINTA UTARA,ABA2069,SK WIRA JAYA,HALAMAN AMPANG,31350,IPOH,PERAK,053188132,053188131
154,Rendah,PPD KINTA UTARA,ABA2070,SK SERI MUTIARA,JALAN TUNKU ABDUL RAHMAN,30010,IPOH,PERAK,055061925,055060410
155,Rendah,PPD KINTA UTARA,ABA2071,SK TASIK DAMAI,JALAN TAWAS BARU UTARA,30010,IPOH,PERAK,052931151,052931151
156,Rendah,PPD KINTA UTARA,ABA2072,SK PAKATAN JAYA,TAMAN PAKATAN JAYA,31150,ULU KINTA,PERAK,055365685,055365686
157,Rendah,PPD KINTA UTARA,ABA2073,SK KELEBANG JAYA,PLOT 2597,31200,CHEMOR,PERAK,052912534,052910849
158,Rendah,PPD KINTA UTARA,ABA2074,SEKOLAH KEBANGSAAN TANAH HITAM,JALAN ULU KUANG,31200,CHEMOR,PERAK,052012145,052012146
159,Rendah,PPD KRIAN,ABA3001,SK ALOR PONGSU,JALAN SELAMA ALOR PONGSU,34300,BAGAN SERAI,PERAK,057217675,057219167
160,Rendah,PPD KRIAN,ABA3002,SK BAGAN SERAI,LORONG SEKOLAH,34300,BAGAN SERAI,PERAK,057210423,057219352
161,Rendah,PPD KRIAN,ABA3003,SK BUKIT MERAH,PEKAN BUKIT MERAH,34310,BAGAN SERAI,PERAK,057218827,057218029
162,Rendah,PPD KRIAN,ABA3004,SK CHANGKAT LOBAK,CHANGKAT LOBAK,34310,BAGAN SERAI,PERAK,058395732,058395953
163,Rendah,PPD KRIAN,ABA3005,SK DATO' MAS'UD,JALAN KAMPUNG KEDAH,34300,BAGAN SERAI,PERAK,057218013,057210600
164,Rendah,PPD KRIAN,ABA3006,SK KUALA KURAU,JALAN BESAR KUALA KURAU,34350,KUALA KURAU,PERAK,057277900,057278311
165,Rendah,PPD KRIAN,ABA3007,SK MATANG GERDU,JALAN SIAKAP,34300,BAGAN SERAI,PERAK,057216541,057219667
166,Rendah,PPD KRIAN,ABA3008,SK MATANG JELUTONG,"KG MATANG JELUTONG, JALAN SELAMA",34300,BAGAN SERAI,PERAK,057210663,057217186
167,Rendah,PPD KRIAN,ABA3009,SK PARIT HAJI TAIB,PARIT HAJI TAIB,34300,BAGAN SERAI,PERAK,057140625,057141308
168,Rendah,PPD KRIAN,ABA3010,SK PARIT HAJI AMAN,PARIT HAJI AMAN,34300,BAGAN SERAI,PERAK,057143405,057141315
169,Rendah,PPD KRIAN,ABA3011,SK SUNGAI BOGAK,KAMPUNG SUNGAI BOGAK,34300,BAGAN SERAI,PERAK,057214509,057217705
170,Rendah,PPD KRIAN,ABA3012,SK SRI SIAKAP,SIMPANG TIGA,34350,KUALA KURAU.,PERAK,057277340,057270106
171,Rendah,PPD KRIAN,ABA3013,SK TEBUK PANCUR,SIMPANG EMPAT,34400,SEMANGGOL,PERAK,058902343,058904497
172,Rendah,PPD KRIAN,ABA3014,SK TELUK MEDAN,"JALAN TAIPING, TELUK MEDAN",34300,BAGAN SERAI,PERAK,057219190,057210719
173,Rendah,PPD KRIAN,ABA3015,SK TELOK PIAL,TELOK PIAL,34350,KUALA KURAU,PERAK,057279980,057279980
174,Rendah,PPD KRIAN,ABA3016,SK JALAN BAHARU,JALAN BAHARU,34200,PARIT BUNTAR,PERAK,057169629,057174314
175,Rendah,PPD KRIAN,ABA3017,SK HAJI RAMLI,KEDAI EMPAT,34250,TANJONG PIANDANG,PERAK,057162169,057162170
176,Rendah,PPD KRIAN,ABA3018,SK KAMPONG KEDAH,KAMPONG KEDAH,34200,PARIT BUNTAR,PERAK,057175767,057176907
177,Rendah,PPD KRIAN,ABA3019,SK SRI KERIAN,JALAN RIA,34200,PARIT BUNTAR,PERAK,057164814,057172640
178,Rendah,PPD KRIAN,ABA3020,SK PARIT HJ WAHAB,TANJONG PIANDANG,34250,TANJONG PIANDANG,PERAK,057255479,057257535
179,Rendah,PPD KRIAN,ABA3021,SK PARIT TOK NGAH,JALANBAHARU,34200,PARIT BUNTAR,PERAK,057140205,057175646
180,Rendah,PPD KRIAN,ABA3022,SK SUNGAI BAHARU,SUNGAI BAHARU,34350,KUALA KURAU.,PERAK,057250807,057256650
181,Rendah,PPD KRIAN,ABA3023,SK SUNGAI BURONG,PARIT TELOK PIAL,34350,KUALA KURAU,PERAK,057140219,057141389
182,Rendah,PPD KRIAN,ABA3024,SK SUNGAI STAR,JALAN SEMPADAN,34200,PARIT BUNTAR,PERAK,057167323,057175909
183,Rendah,PPD KRIAN,ABA3025,SK TANAH KEBUN,TANAH KEBUN,34200,PARIT BUNTAR,PERAK,057173005,057175287
184,Rendah,PPD KRIAN,ABA3026,SK TANJONG PIANDANG,JALAN ATAS,34250,TANJONG PIANDANG,PERAK,057250228,057255524
